1527,83,58,19,26,51,139,242,33,60,32,1
869,19,23,0,4,14,119,83,14,1,5,3
1245,74,50,4,17,63,114,182,42,48,20,4
1138,62,52,3,13,40,109,161,31,13,23,4
870,20,24,0,5,13,120,84,14,1,5,3
1200,75,50,4,17,63,114,182,42,48,20,4
1138,62,52,3,13,40,109,161,31,13,23,4
868,18,23,0,5,14,121,80,10,1,5,3
1245,74,50,4,17,63,114,182,42,48,20,4
1138,62,52,3,13,40,109,161,31,13,23,4
880,20,20,0,6,15,120,80,15,1,5,3
1248,74,50,4,17,63,114,182,42,48,20,4
1130,62,50,3,13,45,110,161,30,13,23,4
880,20,23,0,4,14,131,83,16,1,5,3
1250,70,50,4,17,63,120,182,50,48,20,4
1140,60,53,2,13,50,110,170,31,13,23,4
